Product ID,Product Name,Date of Purchase,Order Status,Store Location,Quantity,Price,Category
1001,Xbox Series X,2023-01-01,Shipped,"Greeneshire, VI",52,432.09,Electronics
1002,Nintendo Switch,2023-01-02,Shipped,"Port Isaacberg, FL",37,77.28,Electronics
1003,Dell XPS 13,2023-01-03,Cancelled,"South Rebeccaburgh, MH",29,476.67,Electronics
1004,Instant Pot,2023-01-04,Cancelled,"East Stevenborough, LA",67,171.12,Home Appliances
1005,Bose Headphones,2023-01-05,Pending,"Lake Deborah, NH",15,334.53,Electronics
1006,Sony PlayStation 5,2023-01-06,Delivered,"East Barbaraland, NY",47,378.39,Electronics
1007,Nikon D3500,2023-01-07,Cancelled,"Port Melanieton, SD",46,407.85,Electronics
1008,Running Shoes,2023-01-08,Cancelled,"Stewartberg, MS",52,473.42,Sports & Outdoors
1009,Skincare Cream,2023-01-09,Pending,"Christopherstad, KY",19,163.33,Health & Beauty
1010,Apple Watch,2023-01-10,Pending,"South Jessica, MA",77,430.67,Electronics
1011,Sony PlayStation 5,2023-01-11,Cancelled,"Martinhaven, PW",21,74.53,Electronics
1012,Fresh Fruits,2023-01-12,Delivered,"Port Jessica, IN",64,355.47,Groceries
1013,Keurig Coffee Maker,2023-01-13,Cancelled,"North Brandiberg, OH",37,373.57,Home Appliances
1014,Fiction Book,2023-01-14,Pending,"Carolynmouth, AZ",27,342.08,Books
1015,Nintendo Switch,2023-01-15,Pending,"South Brianna, NE",55,133.63,Electronics
1016,Dyson Vacuum,2023-01-16,Cancelled,"Port Maryfort, IN",29,437.79,Home Appliances
1017,Fresh Fruits,2023-01-17,Delivered,"Billyborough, SD",20,92.74,Groceries
1018,Keurig Coffee Maker,2023-01-18,Cancelled,"Lake Wayne, NE",25,36.28,Home Appliances
1019,Fiction Book,2023-01-19,Cancelled,"South Danieltown, HI",70,361.56,Books
1020,Instant Pot,2023-01-20,Pending,"Lake Shannonhaven, FM",63,242.98,Home Appliances
1021,Men's T-shirt,2023-01-21,Delivered,"Edwardsside, MN",36,426.06,Clothing & Accessories
1022,Dell XPS 13,2023-01-22,Shipped,"East Cheryl, SC",2,197.86,Electronics
1023,Amazon Echo,2023-01-23,Delivered,"Lake Jasmine, PA",22,92.46,Electronics
1024,Keurig Coffee Maker,2023-01-24,Cancelled,"Christopherhaven, WY",96,419.86,Home Appliances
1025,Board Game,2023-01-25,Cancelled,"Port Louis, WY",16,278.97,Toys & Games
1026,Men's T-shirt,2023-01-26,Cancelled,"East Michellestad, OK",18,102.71,Clothing & Accessories
1027,Sofa Set,2023-01-27,Delivered,"Justinland, VA",69,362.99,Furniture
1028,Men's T-shirt,2023-01-28,Pending,"North Alexandrahaven, SD",54,260.45,Clothing & Accessories
1029,Sofa Set,2023-01-29,Cancelled,"Brianstad, AS",30,306.11,Furniture
1030,Google Nest,2023-01-30,Cancelled,"Lake Holly, OR",45,235.84,Electronics
1031,Roomba Robot Vacuum,2023-01-31,Delivered,"West Michael, CO",19,416.07,Home Appliances
1032,Keurig Coffee Maker,2023-02-01,Shipped,"Mcclainshire, UT",87,416.49,Home Appliances
1033,Fiction Book,2023-02-02,Shipped,"Lopezchester, MD",34,357.6,Books
1034,Running Shoes,2023-02-03,Pending,"Alexandershire, MI",13,61.65,Sports & Outdoors
1035,Kindle Paperwhite,2023-02-04,Pending,"East Danielleburgh, RI",43,421.04,Electronics
1036,Kindle Paperwhite,2023-02-05,Cancelled,"Patriciatown, MT",62,338.8,Electronics
1037,Fiction Book,2023-02-06,Delivered,"Jaredshire, NM",93,351.54,Books
1038,Samsung Galaxy S21,2023-02-07,Cancelled,"North Donaldfurt, MA",22,187.86,Electronics
1039,Bose Headphones,2023-02-08,Pending,"Port Gregorymouth, GA",52,440.85,Electronics
1040,Roomba Robot Vacuum,2023-02-09,Delivered,"Jessicaview, HI",52,365.43,Home Appliances
1041,Fitbit Charge,2023-02-10,Delivered,"Jeremymouth, MN",36,65.17,Electronics
1042,Kindle Paperwhite,2023-02-11,Pending,"East Daniel, ID",73,209.81,Electronics
1043,Men's T-shirt,2023-02-12,Shipped,"West Chelsea, MH",19,444.33,Clothing & Accessories
1044,Fresh Fruits,2023-02-13,Shipped,"Port Davidberg, NV",38,33.13,Groceries
1045,Roomba Robot Vacuum,2023-02-14,Delivered,"Courtneyside, AZ",70,481.09,Home Appliances
1046,Dell XPS 13,2023-02-15,Cancelled,"Marytown, ME",79,342.79,Electronics
1047,Keurig Coffee Maker,2023-02-16,Shipped,"Lake Oscar, CT",57,319.37,Home Appliances
1048,Oculus Quest 2,2023-02-17,Cancelled,"Port Anthony, KY",20,142.57,Electronics
1049,Instant Pot,2023-02-18,Shipped,"West Sharon, IL",9,131.91,Home Appliances
1050,Fresh Fruits,2023-02-19,Shipped,"Jonathanborough, AZ",32,471.61,Groceries
1051,Fiction Book,2023-02-20,Cancelled,"East Adrianport, GA",4,156.15,Books
1052,Sofa Set,2023-02-21,Pending,"Josephville, NV",50,390.0,Furniture
1053,Sony PlayStation 5,2023-02-22,Shipped,"Craigville, AZ",82,202.63,Electronics
1054,Xbox Series X,2023-02-23,Shipped,"Cannonland, AK",5,78.23,Electronics
1055,Roomba Robot Vacuum,2023-02-24,Cancelled,"Stoneside, FM",20,15.25,Home Appliances
1056,iPhone 13,2023-02-25,Pending,"Davidborough, NE",87,276.69,Electronics
1057,Fresh Fruits,2023-02-26,Shipped,"East William, MP",75,488.13,Groceries
1058,Nintendo Switch,2023-02-27,Shipped,"Murraychester, OH",37,190.88,Electronics
1059,Dell XPS 13,2023-02-28,Pending,"Bushchester, OR",22,185.02,Electronics
1060,Roomba Robot Vacuum,2023-03-01,Shipped,"New Billyburgh, PA",58,178.6,Home Appliances
1061,Bose Headphones,2023-03-02,Pending,"Port Eileen, GA",68,265.07,Electronics
1062,Board Game,2023-03-03,Pending,"Lake Tristanton, MO",93,225.93,Toys & Games
1063,Samsung Galaxy S21,2023-03-04,Cancelled,"North Michellestad, PR",44,441.16,Electronics
1064,Google Nest,2023-03-05,Delivered,"Scottburgh, OR",34,257.71,Electronics
1065,Instant Pot,2023-03-06,Pending,"Peterside, NC",77,258.8,Home Appliances
1066,Amazon Echo,2023-03-07,Cancelled,"East Danielle, MH",42,77.8,Electronics
1067,Fiction Book,2023-03-08,Delivered,"Allisonstad, NH",9,491.54,Books
1068,Xbox Series X,2023-03-09,Shipped,"Cannonmouth, KS",95,132.49,Electronics
1069,iPhone 13,2023-03-10,Delivered,"North Brenda, CA",7,45.95,Electronics
1070,Instant Pot,2023-03-11,Pending,"Mitchellchester, KY",68,334.94,Home Appliances
1071,Running Shoes,2023-03-12,Pending,"Stephaniechester, AS",19,301.73,Sports & Outdoors
1072,Skincare Cream,2023-03-13,Pending,"New Kimberlyville, NH",94,213.42,Health & Beauty
1073,Amazon Echo,2023-03-14,Pending,"South Edwin, MP",31,216.87,Electronics
1074,Fresh Fruits,2023-03-15,Pending,"Lake Charles, DC",35,394.68,Groceries
1075,Roomba Robot Vacuum,2023-03-16,Cancelled,"Dorothyville, WI",57,105.9,Home Appliances
1076,Samsung Galaxy S21,2023-03-17,Pending,"West Johnberg, OR",85,411.92,Electronics
1077,Fiction Book,2023-03-18,Cancelled,"Jacobshire, VT",61,327.89,Books
1078,Bose Headphones,2023-03-19,Shipped,"Davidburgh, FL",31,215.3,Electronics
1079,Bose Headphones,2023-03-20,Pending,"North Christopher, WV",83,234.43,Electronics
1080,Nikon D3500,2023-03-21,Pending,"North James, NE",95,135.76,Electronics
1081,Xbox Series X,2023-03-22,Delivered,"South Robertfurt, LA",53,378.54,Electronics
1082,Xbox Series X,2023-03-23,Shipped,"Ericberg, WV",32,261.31,Electronics
1083,Oculus Quest 2,2023-03-24,Pending,"Diazberg, AL",66,167.22,Electronics
1084,Oculus Quest 2,2023-03-25,Pending,"Lake Michelle, CA",59,302.06,Electronics
1085,Sofa Set,2023-03-26,Shipped,"West Kathleen, VT",10,497.91,Furniture
1086,MacBook Pro,2023-03-27,Cancelled,"Barbaraview, WA",2,223.28,Electronics
1087,Roomba Robot Vacuum,2023-03-28,Pending,"New Philip, NC",66,461.14,Home Appliances
1088,Roomba Robot Vacuum,2023-03-29,Delivered,"Michellefurt, NH",60,179.06,Home Appliances
1089,GoPro Hero 9,2023-03-30,Pending,"Lake Kaylahaven, NJ",88,36.82,Electronics
1090,Keurig Coffee Maker,2023-03-31,Delivered,"New Williamborough, NY",17,110.08,Home Appliances
1091,Instant Pot,2023-04-01,Delivered,"East Katherine, SD",96,215.16,Home Appliances
1092,Nikon D3500,2023-04-02,Pending,"Miguelport, GA",16,117.62,Electronics
1093,Running Shoes,2023-04-03,Pending,"Port Angelville, MD",16,10.11,Sports & Outdoors
1094,iPhone 13,2023-04-04,Delivered,"Carterland, CA",46,458.35,Electronics
1095,Roomba Robot Vacuum,2023-04-05,Shipped,"Lake Jamesville, PA",39,423.5,Home Appliances
1096,MacBook Pro,2023-04-06,Shipped,"New Diana, ME",31,373.72,Electronics
1097,Skincare Cream,2023-04-07,Pending,"Toddside, AS",88,92.23,Health & Beauty
1098,Instant Pot,2023-04-08,Cancelled,"Jamesshire, OR",1,68.98,Home Appliances
1099,Dell XPS 13,2023-04-09,Shipped,"North Haleytown, FL",11,43.13,Electronics
1100,Dell XPS 13,2023-04-10,Pending,"Mataberg, VI",85,364.77,Electronics
1101,Apple Watch,2023-04-11,Shipped,"Anthonyport, MD",4,465.12,Electronics
1102,Roomba Robot Vacuum,2023-04-12,Cancelled,"Jonathanville, AK",71,220.96,Home Appliances
1103,Nintendo Switch,2023-04-13,Pending,"Julieport, MI",26,68.38,Electronics
1104,Fitbit Charge,2023-04-14,Cancelled,"Robertchester, LA",50,261.07,Electronics
1105,Oculus Quest 2,2023-04-15,Pending,"Georgechester, CO",12,180.93,Electronics
1106,MacBook Pro,2023-04-16,Cancelled,"South Ryanshire, TX",95,193.66,Electronics
1107,Google Nest,2023-04-17,Shipped,"Shepherdport, AL",81,314.45,Electronics
1108,Dyson Vacuum,2023-04-18,Shipped,"North Stephanie, OH",97,362.17,Home Appliances
1109,Skincare Cream,2023-04-19,Cancelled,"East Pamela, SC",75,64.2,Health & Beauty
1110,iPhone 13,2023-04-20,Cancelled,"Port Cherylchester, MH",92,27.44,Electronics
1111,Dyson Vacuum,2023-04-21,Cancelled,"North Natalie, RI",96,497.22,Home Appliances
1112,Samsung Galaxy S21,2023-04-22,Pending,"Davisbury, HI",65,124.04,Electronics
1113,Running Shoes,2023-04-23,Shipped,"Lake Gregory, ME",47,36.38,Sports & Outdoors
1114,Dell XPS 13,2023-04-24,Pending,"West Debbiemouth, MH",92,103.04,Electronics
1115,Board Game,2023-04-25,Shipped,"Morrisberg, GU",53,29.09,Toys & Games
1116,Fiction Book,2023-04-26,Delivered,"Lake Ryan, OH",71,201.99,Books
1117,Nintendo Switch,2023-04-27,Pending,"Lake Antonio, NM",2,403.18,Electronics
1118,Xbox Series X,2023-04-28,Shipped,"Leahbury, NM",24,177.21,Electronics
1119,Fresh Fruits,2023-04-29,Shipped,"Sandybury, AK",4,227.65,Groceries
1120,iPhone 13,2023-04-30,Pending,"New Olivia, SC",19,341.04,Electronics
1121,Roomba Robot Vacuum,2023-05-01,Pending,"North Michael, MS",26,259.36,Home Appliances
1122,Google Nest,2023-05-02,Shipped,"Maryhaven, NC",75,432.11,Electronics
1123,Nintendo Switch,2023-05-03,Pending,"Danielshire, UT",40,434.36,Electronics
1124,Sofa Set,2023-05-04,Cancelled,"East Robert, NM",50,14.86,Furniture
1125,iPhone 13,2023-05-05,Pending,"Jenkinsside, AL",43,391.24,Electronics
1126,Sony PlayStation 5,2023-05-06,Pending,"Jeremyside, CO",75,235.76,Electronics
1127,Fiction Book,2023-05-07,Pending,"Raymondbury, KS",67,494.53,Books
1128,Keurig Coffee Maker,2023-05-08,Shipped,"East Bettyton, MN",12,246.78,Home Appliances
1129,Xbox Series X,2023-05-09,Cancelled,"New Jonathanmouth, AZ",67,493.58,Electronics
1130,Google Nest,2023-05-10,Delivered,"Lake Ryanmouth, WI",27,379.74,Electronics
1131,Nikon D3500,2023-05-11,Delivered,"New Kylemouth, VA",54,131.82,Electronics
1132,Keurig Coffee Maker,2023-05-12,Cancelled,"North Robert, LA",66,273.81,Home Appliances
1133,MacBook Pro,2023-05-13,Cancelled,"Port Brandi, MA",49,496.15,Electronics
1134,Nintendo Switch,2023-05-14,Cancelled,"Hannahland, IL",16,430.19,Electronics
1135,GoPro Hero 9,2023-05-15,Shipped,"Robertfort, KY",2,57.71,Electronics
1136,Keurig Coffee Maker,2023-05-16,Delivered,"Thomaston, AS",60,356.12,Home Appliances
1137,Fiction Book,2023-05-17,Cancelled,"West Samanthachester, PW",54,179.33,Books
1138,Fitbit Charge,2023-05-18,Shipped,"Erikashire, CT",30,13.42,Electronics
1139,Kindle Paperwhite,2023-05-19,Delivered,"East Stephanie, MA",84,207.71,Electronics
1140,Fresh Fruits,2023-05-20,Pending,"Seanfurt, IA",38,125.03,Groceries
1141,Oculus Quest 2,2023-05-21,Shipped,"New Debraville, AS",28,411.25,Electronics
1142,Dell XPS 13,2023-05-22,Delivered,"Russellton, CT",25,175.29,Electronics
1143,GoPro Hero 9,2023-05-23,Shipped,"Johnsonborough, VA",96,415.49,Electronics
1144,Running Shoes,2023-05-24,Delivered,"North Amandaport, TN",10,10.29,Sports & Outdoors
1145,Samsung Galaxy S21,2023-05-25,Delivered,"Lake Dorothy, VA",60,160.83,Electronics
1146,Board Game,2023-05-26,Pending,"New Hannahfurt, ID",42,128.17,Toys & Games
1147,Men's T-shirt,2023-05-27,Shipped,"Derekview, IL",40,124.45,Clothing & Accessories
1148,Nintendo Switch,2023-05-28,Cancelled,"Robertport, CO",97,43.41,Electronics
1149,Fresh Fruits,2023-05-29,Pending,"Lake Clayton, AZ",77,101.69,Groceries
1150,Sony PlayStation 5,2023-05-30,Pending,"New Kevinshire, PW",42,282.22,Electronics
1151,Google Nest,2023-05-31,Delivered,"Lisachester, NY",47,152.77,Electronics
1152,Amazon Echo,2023-06-01,Cancelled,"Port Michael, NE",37,214.52,Electronics
1153,Dyson Vacuum,2023-06-02,Shipped,"West Jose, ID",80,194.66,Home Appliances
1154,Board Game,2023-06-03,Cancelled,"New Luis, DE",22,439.19,Toys & Games
1155,Running Shoes,2023-06-04,Cancelled,"South Lindsey, VA",57,453.6,Sports & Outdoors
1156,MacBook Pro,2023-06-05,Cancelled,"Wardton, DE",84,251.55,Electronics
1157,Apple Watch,2023-06-06,Cancelled,"New Saraville, CO",27,171.78,Electronics
1158,Keurig Coffee Maker,2023-06-07,Cancelled,"Alexishaven, ME",41,62.33,Home Appliances
1159,Running Shoes,2023-06-08,Delivered,"Lake Thomas, ME",80,477.17,Sports & Outdoors
1160,Nintendo Switch,2023-06-09,Delivered,"Lake Troy, RI",34,39.51,Electronics
1161,Nintendo Switch,2023-06-10,Pending,"Williamsbury, MT",32,155.85,Electronics
1162,Apple Watch,2023-06-11,Delivered,"Kathleenburgh, NV",90,156.05,Electronics
1163,Oculus Quest 2,2023-06-12,Pending,"Reneeborough, FL",89,167.0,Electronics
1164,Keurig Coffee Maker,2023-06-13,Pending,"Blanchardview, WI",66,90.5,Home Appliances
1165,Google Nest,2023-06-14,Shipped,"Maryborough, SD",12,393.75,Electronics
1166,Car Floor Mats,2023-06-15,Cancelled,"North Stephanie, MI",40,70.02,Automotive
1167,iPhone 13,2023-06-16,Delivered,"New Jocelyn, NM",73,321.1,Electronics
1168,Roomba Robot Vacuum,2023-06-17,Shipped,"Kathrynhaven, HI",76,70.68,Home Appliances
1169,GoPro Hero 9,2023-06-18,Delivered,"Jenniferburgh, UT",90,44.56,Electronics
1170,Sofa Set,2023-06-19,Pending,"New Annamouth, MI",73,455.62,Furniture
1171,Fitbit Charge,2023-06-20,Delivered,"Velazquezmouth, PR",10,103.16,Electronics
1172,Sony PlayStation 5,2023-06-21,Cancelled,"Michaelmouth, SD",96,412.41,Electronics
1173,Fiction Book,2023-06-22,Pending,"East Deanna, AS",98,276.87,Books
1174,GoPro Hero 9,2023-06-23,Pending,"Greenbury, MO",48,48.15,Electronics
1175,Roomba Robot Vacuum,2023-06-24,Shipped,"Jenniferview, PR",20,478.17,Home Appliances
1176,Xbox Series X,2023-06-25,Cancelled,"Barbaraberg, GA",39,131.01,Electronics
1177,iPhone 13,2023-06-26,Pending,"Dustinstad, NH",60,431.23,Electronics
1178,Sony PlayStation 5,2023-06-27,Cancelled,"Aliciamouth, MD",66,92.72,Electronics
1179,Fresh Fruits,2023-06-28,Delivered,"Chelseachester, MS",65,428.43,Groceries
1180,Car Floor Mats,2023-06-29,Cancelled,"Obrienfurt, FL",51,16.48,Automotive
1181,Dyson Vacuum,2023-06-30,Pending,"East Lauriestad, AR",36,260.77,Home Appliances
1182,Sony PlayStation 5,2023-07-01,Shipped,"Justinberg, KY",24,387.03,Electronics
1183,Men's T-shirt,2023-07-02,Pending,"Colemanstad, MS",27,468.05,Clothing & Accessories
1184,Board Game,2023-07-03,Cancelled,"Hudsonchester, IL",2,455.51,Toys & Games
1185,Fiction Book,2023-07-04,Cancelled,"Lake Davidville, KY",31,411.62,Books
1186,iPhone 13,2023-07-05,Pending,"New Pennytown, IA",57,445.21,Electronics
1187,Apple Watch,2023-07-06,Cancelled,"Jamieport, NE",78,107.62,Electronics
1188,Keurig Coffee Maker,2023-07-07,Delivered,"Loriport, MS",66,149.25,Home Appliances
1189,Bose Headphones,2023-07-08,Pending,"Ianfort, HI",29,151.59,Electronics
1190,Nintendo Switch,2023-07-09,Shipped,"Danielborough, IL",15,194.76,Electronics
1191,Men's T-shirt,2023-07-10,Pending,"Mcdanielshire, AK",12,202.73,Clothing & Accessories
1192,Sony PlayStation 5,2023-07-11,Delivered,"Lake Loriland, OH",28,276.83,Electronics
1193,Fiction Book,2023-07-12,Delivered,"New Victor, OR",84,88.34,Books
1194,Samsung Galaxy S21,2023-07-13,Delivered,"Lake Michael, GA",24,348.71,Electronics
1195,Instant Pot,2023-07-14,Delivered,"East Jonathan, ME",21,92.11,Home Appliances
1196,Amazon Echo,2023-07-15,Delivered,"Jordanside, WV",10,162.05,Electronics
1197,Dell XPS 13,2023-07-16,Shipped,"Webbburgh, OK",78,256.64,Electronics
1198,iPhone 13,2023-07-17,Cancelled,"Port Matthew, WI",18,400.26,Electronics
1199,Nikon D3500,2023-07-18,Delivered,"New Patricia, NV",88,372.34,Electronics
1200,Oculus Quest 2,2023-07-19,Delivered,"Hernandezville, KS",14,326.31,Electronics
1201,Men's T-shirt,2023-07-20,Pending,"New Andrea, MA",34,86.33,Clothing & Accessories
1202,Amazon Echo,2023-07-21,Shipped,"East Beverly, SC",58,278.05,Electronics
1203,Instant Pot,2023-07-22,Shipped,"North Yolandastad, WV",76,52.85,Home Appliances
1204,Running Shoes,2023-07-23,Cancelled,"Port Victoriachester, IN",22,194.91,Sports & Outdoors
1205,Dyson Vacuum,2023-07-24,Shipped,"North Krystal, PR",70,212.62,Home Appliances
1206,Running Shoes,2023-07-25,Pending,"East Lauren, MP",36,29.51,Sports & Outdoors
1207,Nintendo Switch,2023-07-26,Pending,"West Patriciamouth, CA",45,144.25,Electronics
1208,Men's T-shirt,2023-07-27,Cancelled,"West James, LA",36,478.27,Clothing & Accessories
1209,Board Game,2023-07-28,Pending,"Shaunport, MN",22,477.28,Toys & Games
1210,Oculus Quest 2,2023-07-29,Delivered,"East Zacharyview, LA",78,182.64,Electronics
1211,Board Game,2023-07-30,Delivered,"North Amandaburgh, ID",80,31.12,Toys & Games
1212,Apple Watch,2023-07-31,Pending,"West Christopherville, AS",61,97.76,Electronics
1213,Kindle Paperwhite,2023-08-01,Cancelled,"Hopkinsbury, WV",56,202.19,Electronics
1214,Bose Headphones,2023-08-02,Shipped,"Lake Ian, ND",89,474.41,Electronics
1215,Fresh Fruits,2023-08-03,Cancelled,"Williamport, ND",96,79.19,Groceries
1216,Google Nest,2023-08-04,Shipped,"North Anthony, NY",33,384.12,Electronics
1217,Skincare Cream,2023-08-05,Pending,"Lake Brianport, LA",45,63.25,Health & Beauty
1218,Kindle Paperwhite,2023-08-06,Pending,"Wareview, SD",36,490.82,Electronics
1219,Roomba Robot Vacuum,2023-08-07,Delivered,"New Dana, AL",20,196.99,Home Appliances
1220,Samsung Galaxy S21,2023-08-08,Shipped,"Derekview, OH",18,389.86,Electronics
1221,Xbox Series X,2023-08-09,Cancelled,"Ritterstad, MO",38,177.87,Electronics
1222,Skincare Cream,2023-08-10,Pending,"West Samanthamouth, AK",67,317.56,Health & Beauty
1223,Sony PlayStation 5,2023-08-11,Cancelled,"Williambury, FL",23,104.09,Electronics
1224,Car Floor Mats,2023-08-12,Delivered,"Jenniferport, LA",96,81.55,Automotive
1225,Bose Headphones,2023-08-13,Shipped,"Port Louis, PA",16,469.65,Electronics
1226,Sony PlayStation 5,2023-08-14,Shipped,"South Kathleen, PA",59,459.65,Electronics
1227,Apple Watch,2023-08-15,Pending,"Brownburgh, NY",69,444.86,Electronics
1228,Skincare Cream,2023-08-16,Shipped,"Rileychester, MP",68,316.46,Health & Beauty
1229,Oculus Quest 2,2023-08-17,Pending,"Dianestad, AR",21,406.05,Electronics
1230,Bose Headphones,2023-08-18,Delivered,"Port Jenniferbury, GA",78,43.83,Electronics
1231,Roomba Robot Vacuum,2023-08-19,Shipped,"Solismouth, KY",95,174.05,Home Appliances
1232,Fiction Book,2023-08-20,Pending,"Lake Amy, NH",78,163.71,Books
1233,Roomba Robot Vacuum,2023-08-21,Cancelled,"New Mallory, NY",70,321.47,Home Appliances
1234,GoPro Hero 9,2023-08-22,Pending,"Kyleshire, GA",12,184.42,Electronics
1235,Amazon Echo,2023-08-23,Shipped,"Colemanmouth, PW",16,82.77,Electronics
1236,Fiction Book,2023-08-24,Delivered,"Kelleyland, FM",81,302.27,Books
1237,MacBook Pro,2023-08-25,Shipped,"East Yvettefurt, MH",87,409.05,Electronics
1238,Kindle Paperwhite,2023-08-26,Shipped,"Lake Shellyhaven, AZ",14,197.24,Electronics
1239,Samsung Galaxy S21,2023-08-27,Pending,"North Scott, GA",61,74.81,Electronics
1240,Fresh Fruits,2023-08-28,Cancelled,"East Kyle, FM",71,106.38,Groceries
1241,MacBook Pro,2023-08-29,Shipped,"Bennetttown, DC",46,126.37,Electronics
1242,Keurig Coffee Maker,2023-08-30,Cancelled,"Jonesmouth, LA",32,156.95,Home Appliances
1243,Samsung Galaxy S21,2023-08-31,Pending,"North Christina, CO",15,324.97,Electronics
1244,Car Floor Mats,2023-09-01,Cancelled,"New Brian, MT",44,304.46,Automotive
1245,Board Game,2023-09-02,Pending,"Avilaport, VT",17,351.08,Toys & Games
1246,Kindle Paperwhite,2023-09-03,Delivered,"South Jeffreyhaven, AK",41,187.63,Electronics
1247,Xbox Series X,2023-09-04,Cancelled,"Weaverhaven, NV",54,413.76,Electronics
1248,Men's T-shirt,2023-09-05,Cancelled,"Jimenezmouth, NE",44,110.0,Clothing & Accessories
